Credit_Score,Property_Price,Loan_Amount_Requested,Number_of_Defaults,Income,Property_Location,Applicant_Location,Loan_Sanction_Amount
763,5734275,3991862,0,469786,Semi-Urban,CityB,2692846
607,5358194,1104149,0,555431,Urban,CityD,1685479
613,4327832,3129134,0,839517,Urban,CityA,2210765
574,4083807,2289991,0,401819,Urban,CityB,1651257
710,1955082,1148207,0,459718,Semi-Urban,CityC,1081659
488,5911920,2925515,0,550179,Urban,CityA,2124163
772,4468837,3386384,0,656165,Urban,CityD,2215186
596,5228872,1444700,0,625958,Rural,CityA,1558622
672,5751912,3743454,0,484260,Semi-Urban,CityB,2576163
632,3820396,1706498,0,879750,Urban,CityD,1653449
752,6525494,4722044,0,721822,Semi-Urban,CityB,2975667
505,5169666,1516465,1,697121,Urban,CityC,1550156
627,7245493,801879,0,566112,Semi-Urban,CityC,1917907
623,5253407,763970,0,521561,Urban,CityD,1545314
729,5477937,3997495,1,425823,Urban,CityA,2783591
573,4589934,2518979,0,776145,Rural,CityB,2054638
637,7214621,4409491,0,562550,Urban,CityB,2872452
588,1844761,835775,0,659649,Urban,CityC,903308
652,4200752,2059638,1,506515,Rural,CityB,1670507
690,4542419,1611315,0,865722,Urban,CityC,1708387
572,2704369,1752012,0,532706,Urban,CityA,1322269
730,3807946,2398266,0,723222,Semi-Urban,CityA,1950174
713,1741816,1027679,0,545597,Urban,CityD,1038583
685,5285581,4087470,0,608576,Urban,CityA,2537023
713,2892159,1845738,1,778383,Semi-Urban,CityD,1589371
602,5554791,4357988,0,994922,Urban,CityB,2688304
641,4607327,2364450,0,432782,Semi-Urban,CityC,1795552
584,3750930,2001051,1,420919,Semi-Urban,CityC,1414306
631,2669326,1461022,0,344544,Urban,CityD,1206531
687,3975728,1305868,0,784703,Semi-Urban,CityB,1578836
601,5465936,672968,0,518700,Rural,CityA,1426100
622,4811829,3135982,0,519493,Urban,CityD,1993213
601,5999366,3582410,0,593480,Semi-Urban,CityD,2703059
590,3817505,592943,0,506475,Semi-Urban,CityB,1254816
603,7408990,1511488,1,59201,Urban,CityD,1710747
649,4643070,2695015,0,518923,Semi-Urban,CityD,1916313
571,3732207,1771030,0,432820,Urban,CityB,1516285
666,6965239,1628822,0,625167,Rural,CityB,2387428
766,7036350,979230,0,449087,Rural,CityB,2115158
701,4864746,2568530,0,583289,Semi-Urban,CityC,2264758
636,4273547,587733,0,529229,Semi-Urban,CityD,1165877
587,6365112,1588113,0,598124,Urban,CityA,2115595
597,3658795,1653277,0,666714,Semi-Urban,CityD,1665623
768,6402787,1061722,0,398913,Urban,CityC,1904923
653,2919229,1127506,0,791949,Urban,CityC,1421109
605,4874910,556135,0,925980,Rural,CityD,1501601
663,5017633,921361,0,821702,Urban,CityC,1747562
797,6812149,5163907,0,746464,Urban,CityC,3370850
658,2256171,1108237,0,669276,Urban,CityA,1167194
693,5351655,3106759,1,489903,Urban,CityA,2042748
671,4818934,1756208,0,527626,Rural,CityB,1917690
625,5004362,3173691,0,650693,Urban,CityA,2019002
570,3673842,2672618,0,557794,Rural,CityD,1767278
625,3047158,2246165,0,598845,Rural,CityB,1438535
635,4305294,1926793,0,797333,Urban,CityB,1993735
691,4637504,2939376,0,669214,Urban,CityA,2178600
708,7212775,4300786,0,531661,Rural,CityB,3342607
715,5167072,3957501,1,885416,Urban,CityD,2714178
669,4993586,1343715,2,527870,Urban,CityD,1578273
711,6047519,2981051,0,579368,Urban,CityD,2382007
597,2582218,337344,0,158901,Rural,CityA,716708
737,6083850,4539918,0,623150,Semi-Urban,CityA,2860585
685,6373064,4854233,0,666773,Urban,CityB,3232570
629,6360716,2866358,0,435350,Semi-Urban,CityC,2123823
684,4500509,2296530,1,691460,Rural,CityD,2021136
644,3147125,2015291,0,497793,Semi-Urban,CityC,1560010
729,3522607,967068,0,773640,Semi-Urban,CityB,1534915
756,5371181,1962057,0,387873,Urban,CityC,2132821
802,5805147,1753293,0,885786,Semi-Urban,CityC,2065578
552,6914825,3299497,0,769373,Semi-Urban,CityC,2469388
548,7282151,5565528,1,605390,Urban,CityA,2976190
614,6306872,2332158,0,266255,Rural,CityA,1987647
661,5050893,664227,0,391446,Rural,CityD,1396471
711,5397380,3118407,0,497018,Urban,CityB,2325766
672,4647031,2074999,0,774745,Semi-Urban,CityB,1877143
508,6582303,2024443,1,589615,Semi-Urban,CityB,2184430
628,5891407,2304259,0,992288,Urban,CityA,2386166
707,5323790,3746656,0,803628,Semi-Urban,CityB,2778849
666,3116599,2102808,0,481661,Urban,CityD,1489660
703,6569992,1442721,0,612810,Urban,CityC,2285317
634,2709670,1570507,0,531730,Rural,CityB,1208040
635,6847673,5466938,1,934549,Semi-Urban,CityC,3707665
663,6476944,4203870,0,746411,Urban,CityB,3033134
678,2619397,1591369,1,685251,Urban,CityD,1342697
663,4927303,1562024,0,760678,Urban,CityD,1814251
658,3137909,664074,0,689247,Rural,CityD,1139017
603,4783071,3372187,0,420160,Urban,CityA,2204440
676,5832755,3075275,0,594303,Rural,CityC,2198384
658,4795043,1788854,0,361468,Rural,CityA,1594358
729,2954198,1857935,1,506151,Semi-Urban,CityD,1572019
733,5391241,3251131,0,754660,Urban,CityB,2343070
662,5389232,2980963,0,808605,Urban,CityB,2531756
623,4959148,1215410,0,891749,Urban,CityA,1701571
605,3432292,2470802,0,686307,Semi-Urban,CityD,1818605
679,4475328,2699984,1,317677,Semi-Urban,CityA,1661711
655,5402791,1684814,0,318081,Rural,CityA,1812618
625,4767425,688983,1,512663,Urban,CityA,1301072
653,8168933,6036494,3,966599,Semi-Urban,CityA,3978111
606,5384119,3530340,0,520488,Urban,CityD,2365588
698,4689858,2105786,0,671806,Urban,CityD,2113255
618,5723897,2230875,0,247259,Urban,CityB,1739471
735,3341851,1774168,0,850697,Rural,CityC,1714928
678,5631133,2133978,1,435287,Semi-Urban,CityB,1928916
691,7425191,944801,0,430425,Urban,CityD,2114059
